PRICE,TYPE,LOC,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS,POINT,CENTROID,CENTROID W,PRED,CAT
560000.0,APPART A VENDR,75001,45.0,0.0,0,0,1,2,5,6,,,,,"('APPART A VENDR', '75001')"
849000.0,APPART A VENDR,75012,83.5,0.0,0,0,2,4,1,7,"(83.5, 0.0, 0.0, 0.0, 2.0, 4.0, 1.0, 7.0)","(74.2, 0.0, 0.0, 0.16666666666666666, 1.8333333333333333, 3.6666666666666665, 3.8333333333333335, 6.166666666666667)",37.0,785166.6666666666,"('APPART A VENDR', '75012')"
1550000.0,APPART A VENDR,75018,191.9,0.0,0,0,4,5,0,1,"(191.9, 0.0, 0.0, 0.0, 4.0, 5.0, 0.0, 1.0)","(191.9, 0.0, 0.0, 0.0, 4.0, 5.0, 0.0, 1.0)",119.0,1550000.0,"('APPART A VENDR', '75018')"
620000.0,APPART A VENDR,75005,51.0,0.0,0,0,2,3,1,6,,,,,"('APPART A VENDR', '75005')"
1595000.0,DUPLEX A VENDR,75016,137.0,0.0,0,0,4,6,3,4,,,,,"('DUPLEX A VENDR', '75016')"
1180000.0,APPART A VENDR,75016,109.0,0.0,0,0,2,4,2,7,"(109.0, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 7.0)","(107.33888888888889, 0.0, 0.0, 0.0, 2.6666666666666665, 4.444444444444445, 2.7777777777777777, 6.555555555555555)",246.0,1407866.6666666667,"('APPART A VENDR', '75016')"
388900.0,APPART A VENDR,75018,44.0,0.0,0,0,1,2,1,3,"(44.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 3.0)","(43.7, 0.0, 0.0, 0.0, 1.0666666666666667, 2.1333333333333333, 2.6, 5.933333333333334)",119.0,435087.5,"('APPART A VENDR', '75018')"
668900.0,APPART A VENDR,75005,55.0,0.0,0,0,1,2,6,8,,,,,"('APPART A VENDR', '75005')"
469000.0,APPART A VENDR,75013,52.0,0.0,0,0,1,2,1,6,,,,,"('APPART A VENDR', '75013')"
1400000.0,APPART A VENDR,75012,101.5,0.0,0,0,3,4,4,9,"(101.5, 0.0, 0.0, 0.0, 3.0, 4.0, 4.0, 9.0)","(99.55, 0.0, 0.0, 0.0, 3.0, 5.0, 2.5, 13.0)",37.0,1051666.6666666667,"('APPART A VENDR', '75012')"
749000.0,APPART A VENDR,75002,48.0,0.0,0,0,1,2,2,6,,,,,"('APPART A VENDR', '75002')"
749900.0,APPART A VENDR,75004,70.0,0.0,0,0,1,2,1,6,"(70.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 6.0)","(68.0, 0.0, 0.0, 0.0, 1.0, 2.3333333333333335, 1.3333333333333333, 4.666666666666667)",43.0,873300.0,"('APPART A VENDR', '75004')"
215000.0,APPART A VENDR,75010,18.0,0.0,0,0,1,1,0,5,,,,,"('APPART A VENDR', '75010')"
215000.0,APPART A VENDR,75010,18.0,0.0,0,0,1,2,1,5,,,,,"('APPART A VENDR', '75010')"
550000.0,APPART A VENDR,75012,51.0,0.0,0,0,1,2,0,5,"(51.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 5.0)","(53.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 3.0)",37.0,566000.0,"('APPART A VENDR', '75012')"
465000.0,APPART A VENDR,75006,32.0,0.0,0,0,1,2,6,2,"(32.0, 0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 2.0)","(30.54, 0.0, 0.0, 0.0, 1.0, 1.8, 3.8, 4.2)",60.0,597000.0,"('APPART A VENDR', '75006')"
499500.0,APPART A VENDR,75011,46.0,0.0,0,0,1,2,1,7,"(46.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 7.0)","(45.0125, 0.0, 0.0, 0.0, 1.125, 2.375, 2.125, 4.75)",49.0,455166.6666666667,"('APPART A VENDR', '75011')"
1000000.0,APPART A VENDR,75017,74.8,0.0,0,0,1,4,2,6,"(74.8, 0.0, 0.0, 0.0, 1.0, 4.0, 2.0, 6.0)","(75.0, 0.0, 0.0, 0.0, 1.5714285714285714, 3.2857142857142856, 1.2857142857142858, 5.571428571428571)",113.0,888428.5714285715,"('APPART A VENDR', '75017')"
1450000.0,APPART A VENDR,75008,85.0,0.0,0,0,1,2,1,5,"(85.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 5.0)","(86.75, 0.0, 0.0, 0.25, 1.75, 2.75, 3.0, 4.0)",52.0,1466250.0,"('APPART A VENDR', '75008')"
550000.0,APPART A VENDR,75020,86.1,0.0,0,0,1,3,1,12,,,,,"('APPART A VENDR', '75020')"
150000.0,APPART A VENDR,75011,14.0,0.0,0,0,1,1,6,6,"(14.0, 0.0, 0.0, 0.0, 1.0, 1.0, 6.0, 6.0)","(14.0, 0.0, 0.0, 0.0, 1.0, 1.0, 4.0, 4.0)",49.0,162333.33333333334,"('APPART A VENDR', '75011')"
1140000.0,DUPLEX A VENDR,92000,100.8,0.0,0,1,3,4,0,0,,,,,"('DUPLEX A VENDR', '92000')"
450000.0,APPART A VENDR,75015,45.0,0.0,0,0,1,2,3,7,"(45.0, 0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 7.0)","(44.7, 0.0, 0.0, 0.0, 1.2, 2.2, 3.2, 7.0)",89.0,476400.0,"('APPART A VENDR', '75015')"
290000.0,APPART A VENDR,75018,28.0,0.0,0,0,1,2,1,4,"(28.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 4.0)","(28.513333333333332, 0.0, 0.06666666666666667, 0.0, 1.0, 1.5333333333333334, 3.066666666666667, 6.933333333333334)",119.0,258750.0,"('APPART A VENDR', '75018')"
629000.0,APPART A VENDR,75018,80.0,0.0,0,0,3,4,4,10,"(80.0, 0.0, 0.0, 0.0, 3.0, 4.0, 4.0, 10.0)","(81.05714285714285, 0.0, 0.0, 0.14285714285714285, 2.4285714285714284, 3.4285714285714284, 2.0, 5.285714285714286)",119.0,847571.4285714285,"('APPART A VENDR', '75018')"
329000.0,APPART A VENDR,75020,38.0,0.0,0,0,1,2,2,6,,,,,"('APPART A VENDR', '75020')"
460000.0,APPART A VENDR,75015,43.0,0.0,0,0,1,2,6,7,"(43.0, 0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 7.0)","(44.7, 0.0, 0.0, 0.0, 1.2, 2.2, 3.2, 7.0)",89.0,476400.0,"('APPART A VENDR', '75015')"
1190000.0,APPART A VENDR,75017,76.7,0.0,0,0,1,3,2,6,"(76.7, 0.0, 0.0, 0.0, 1.0, 3.0, 2.0, 6.0)","(75.0, 0.0, 0.0, 0.0, 1.5714285714285714, 3.2857142857142856, 1.2857142857142858, 5.571428571428571)",113.0,888428.5714285715,"('APPART A VENDR', '75017')"
1250000.0,APPART A VENDR,75008,86.0,0.0,0,0,2,3,2,2,"(86.0, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 2.0)","(86.75, 0.0, 0.0, 0.25, 1.75, 2.75, 3.0, 4.0)",52.0,1466250.0,"('APPART A VENDR', '75008')"
649000.0,APPART A VENDR,75011,59.0,0.0,0,0,1,2,3,6,"(59.0, 0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 6.0)","(61.73333333333333, 0.0, 0.0, 0.0, 1.6666666666666667, 2.6666666666666665, 1.5, 4.0)",49.0,706333.3333333334,"('APPART A VENDR', '75011')"
1700000.0,MAISON A VENDR,75013,155.7,42.2,0,0,3,6,0,0,,,,,"('MAISON A VENDR', '75013')"
2490000.0,APPART A VENDR,75016,147.5,0.0,0,0,3,5,6,7,"(147.5, 0.0, 0.0, 0.0, 3.0, 5.0, 6.0, 7.0)","(153.18, 0.0, 0.0, 0.1, 3.25, 5.25, 2.9, 5.85)",246.0,2000300.0,"('APPART A VENDR', '75016')"
890000.0,APPART A VENDR,75020,82.0,0.0,0,0,2,3,3,7,,,,,"('APPART A VENDR', '75020')"
660000.0,APPART A VENDR,75010,63.0,0.0,0,0,2,3,5,6,,,,,"('APPART A VENDR', '75010')"
165000.0,APPART A VENDR,75013,20.0,0.0,0,0,1,1,0,5,,,,,"('APPART A VENDR', '75013')"
